Kgrid,V1,V2,V3,K1,K2,K3,L1,L2,L3,n_iter,time,tol_level,V1InitialGuess,V2InitialGuess,V3InitialGuess
4.27573722219977,-0.357705387919399,-0.324236535818427,-0.290537688418506,4.14034313057308,4.19448519373818,4.24864279771513,0.78345216983378,0.785104049200906,0.786680857149789,419,2530.2445694,1e-07,0.557645969064097,0.571781471017558,0.586152179482131
4.28476411288703,-0.357468455958675,-0.324005446601971,-0.290312469312468,4.14936762131557,4.20350001115667,4.25767728362015,0.785902746719643,0.7874431592261,0.788913197860383,419,2530.2445694,1e-07,0.560999584857189,0.575097710327436,0.589431213111336
4.29379100357429,-0.357231703832877,-0.323774612056028,-0.29008753158529,4.15840337275199,4.21250889477466,4.25771317868475,0.788366350245954,0.789794099674131,0.791156280655378,419,2530.2445694,1e-07,0.564341447773681,0.578402439338523,0.592698973835139
4.30281789426156,-0.356995165247838,-0.323544036111514,-0.289862745925543,4.16742445486166,4.21255931520767,4.26670524958062,0.79084305716452,0.792156936768359,0.793410162666193,419,2530.2445694,1e-07,0.567671639832101,0.581695737617397,0.595955538857651
4.31184478494882,-0.356759034736062,-0.323313641928549,-0.28963819558264,4.17641726477022,4.22156857321669,4.27574321295944,0.793332944540456,0.794531736987562,0.795674901232491,419,2530.2445694,1e-07,0.570990242198151,0.584977683911156,0.599200984595165
4.32087167563608,-0.35652322243996,-0.323083743272499,-0.289414108534134,4.17645674352426,4.23059278226127,4.2847412662942,0.795836089749847,0.796918567064079,0.797950553900712,419,2530.2445694,1e-07,0.574297335196463,0.588248356158613,0.60243538668681
4.32989856632334,-0.356287594163657,-0.322854204985467,-0.289190328359273,4.18549194261697,4.23961286775584,4.29376622475126,0.798352570477322,0.799317493981891,0.800237178422551,419,2530.2445694,1e-07,0.577592998322155,0.59150783150129,0.605658820005034
4.33892545701061,-0.35605238413544,-0.322624825431877,-0.2889667340718,4.19447373941751,4.24865972036557,4.30280148603151,0.800882464713549,0.801728584974636,0.802534832753389,419,2530.2445694,1e-07,0.580877310252189,0.594756186294239,0.608871358665906
4.34795234769787,-0.35581756237582,-0.322395889091812,-0.288743403576488,4.20352694168203,4.2576788051808,4.31184704457437,0.803425850752639,0.804151907523561,0.804843575050682,419,2530.2445694,1e-07,0.58415034885653,0.597993496116656,0.612073076039234
4.35697923838513,-0.355582956464143,-0.322167103643795,-0.28852034647502,4.21255438640488,4.25768183472263,4.31184953030272,0.805982807189468,0.806587529355415,0.807163463672293,419,2530.2445694,1e-07,0.587412191209123,0.601219835782348,0.61526404475855
4.36600612907239,-0.355348620524818,-0.321938603068338,-0.288297619446944,4.221540950276,4.26671580174137,4.32087149568498,0.808553412916908,0.809035518440263,0.809494557174787,419,2530.2445694,1e-07,0.59066291359868,0.604435279349996,0.618444336730874
4.37503301975965,-0.355114590210043,-0.321710404040541,-0.288075228197958,4.23059256619049,4.27574809222107,4.32992604322363,0.81113774712297,0.811495942989256,0.811836914311665,419,2530.2445694,1e-07,0.593902591539278,0.607639900133261,0.621614023146373
4.38405991044691,-0.354880690031086,-0.32148254069967,-0.287853048634799,4.23061257753258,4.28476756146159,4.3389182181197,0.813735889287858,0.813968871452309,0.814190594031561,419,2530.2445694,1e-07,0.597131299780807,0.610833770710729,0.624773174487819
4.39308680113418,-0.354646984169705,-0.321254957724457,-0.287631165297328,4.23962836868309,4.29376828959364,4.34795283105256,0.816347919180935,0.816454372515735,0.816555655476379,419,2530.2445694,1e-07,0.6003491123192,0.614016962935669,0.627921860539918
4.40211369182144,-0.354413871433345,-0.321027655722901,-0.28740957903653,4.24866258104516,4.30279861911061,4.35697001217338,0.818973916857597,0.818952515099798,0.818932157979384,419,2530.2445694,1e-07,0.603556102406526,0.617189547945646,0.631060150398469
4.4111405825087,-0.354181204889386,-0.320800565482497,-0.287188243746005,4.25768150246275,4.31181932619009,4.35698177903128,0.821613962656049,0.821463368356201,0.821320161063246,419,2530.2445694,1e-07,0.606752342560914,0.620351596171982,0.634188112479384
4.42016747319596,-0.353948720645906,-0.320573639674729,-0.286967124967755,4.26669891420199,4.31184768762181,4.36600045479862,0.824268137193998,0.823987001665506,0.823719724438026,419,2530.2445694,1e-07,0.609937904576279,0.623503177349035,0.637305814527553
4.42919436388322,-0.353716487345808,-0.320347169315321,-0.286746363961846,4.27570415392616,4.32089249446605,4.37503580404734,0.826936521365248,0.826523484634484,0.826130907999116,419,2530.2445694,1e-07,0.613112859531933,0.626644360523352,0.640413323625576
4.43822125457049,-0.353484355944317,-0.320121075758378,-0.286525846892047,4.27575894786523,4.32988832031108,4.38407159633455,0.829619196336196,0.829072887093399,0.828553771825125,419,2530.2445694,1e-07,0.616277277802007,0.62977521406267,0.643510706202337
4.44724814525775,-0.353252732106544,-0.319895172756212,-0.2863056491627,4.28478126960623,4.33893869267258,4.39309112585838,0.832316243542243,0.831635279093213,0.830988376175716,419,2530.2445694,1e-07,0.619431229064723,0.632895805664743,0.646598028041465
4.45627503594501,-0.35302131511261,-0.319669726449855,-0.286085772833635,4.29378419276166,4.34794585644531,4.40211620652584,0.835027744684101,0.834210730902731,0.833434781489383,419,2530.2445694,1e-07,0.622574782311526,0.636006202366069,0.649675354289627
4.46530192663227,-0.352790135842203,-0.319444409652111,-0.285866123494355,4.30281227014198,4.34798490079119,4.40214933297768,0.837753781724005,0.836799313005663,0.835893048381186,419,2530.2445694,1e-07,0.625708005856056,0.63910647055044,0.652742749464715
4.47432881731953,-0.352559375735259,-0.319219248512616,-0.285646633329059,4.31180240106823,4.35699252235882,4.41115509122326,0.840494436881833,0.839401096097625,0.838363237640423,419,2530.2445694,1e-07,0.628830967342976,0.642196675957372,0.655800277463892
4.4833557080068,-0.352328878748083,-0.318994395759492,-0.285427384133423,4.31186429951048,4.3659946482557,4.4201676454212,0.84324979263112,0.842016151083061,0.840845410228252,419,2530.2445694,1e-07,0.631943733756661,0.645276883690397,0.65884800157151
4.49238259869406,-0.352098557881758,-0.318769864915333,-0.28520851830867,4.32089616893348,4.37502839319241,4.42920460448813,0.846019931694978,0.844644549072094,0.843339627275266,419,2530.2445694,1e-07,0.635046371429744,0.648347158225217,0.661885984466898
