Kgrid,V1,V2,V3,K1,K2,K3,L1,L2,L3,n_iter,time,tol_level,V1InitialGuess,V2InitialGuess,V3InitialGuess,n_iter_acc
2.63284311711809,-16.2414247954239,-16.2439365599022,-16.2464662497123,3.58068184630482,3.62579434781534,3.67094860566372,0.491716855358116,0.501667445797993,0.51151617348764,10000,6.3736828,1e-07,-0.418445051038155,-0.386627121199245,-0.355104522449857,1
2.6779775705544,-16.2439871321408,-16.2465115036887,-16.2490519230433,3.62579089541738,3.67094951939979,3.71606015059361,0.496875921696925,0.506775421541997,0.516566508513876,10000,6.3736828,1e-07,-0.372961733521514,-0.342377437598816,-0.312023029056696,1
2.72311202399071,-16.2466305147104,-16.2491664891961,-16.2517165688871,3.67091280410001,3.71607156833639,3.76118642321048,0.502145334541786,0.51198882322729,0.521717347285181,10000,6.3736828,1e-07,-0.329531932108764,-0.300076598088961,-0.270794914459595,1
2.76824647742702,-16.2493582438521,-16.251904713348,-16.2544632809871,3.71604086647628,3.76119637236843,3.76122520305215,0.507528358779851,0.517310642954092,0.526971423587089,10000,6.3736828,1e-07,-0.287979337114701,-0.259561265735834,-0.231268268900463,1
2.81338093086333,-16.2521737787255,-16.254729523203,-16.2572952953151,3.76118542847542,3.76120034254621,3.80632380132878,0.513028372751474,0.522743971703603,0.532331557031203,10000,6.3736828,1e-07,-0.248149353900806,-0.220687753499999,-0.193309072540708,1
2.85851538429964,-16.2550807453361,-16.2576444237232,-16.2602159972574,3.76123710839251,3.80633033765546,3.80633588774575,0.518648872248314,0.528292002590997,0.537800655684335,10000,6.3736828,1e-07,-0.209905679406109,-0.183328996370761,-0.156798494238382,1
2.90364983773595,-16.2580829454031,-16.2606530859563,-16.2632289291719,3.80635321202552,3.85145098371014,3.80634540385898,0.524393474612722,0.533958034188504,0.543381718744437,10000,6.3736828,1e-07,-0.173127527874611,-0.147372085072563,-0.121630681713055,1
2.94878429117226,-16.2611843657125,-16.2637593556519,-16.2663377983369,3.85144844498684,3.85147457477232,3.8514625090761,0.530265922934973,0.539745473914937,0.549077839259759,10000,6.3736828,1e-07,-0.137707363385881,-0.11271624079404,-0.0877109395411113,1
2.99391874460857,-16.2643891879799,-16.2669672623335,-16.2695464853065,3.896599697637,3.85148625452933,3.85148283356643,0.536270090343952,0.54565784148724,0.554892206887062,10000,6.3736828,1e-07,-0.103549031965432,-0.0792711395493703,-0.0549542160372776,1
3.03905319804488,-16.2677017992495,-16.270281028848,-16.2728590526942,3.89659976614945,3.89660667436359,3.85149996308988,0.542409984385825,0.551698772428759,0.560828110684028,10000,6.3736828,1e-07,-0.0705662116275676,-0.046955516146002,-0.0232838382210106,1
3.08418765148119,-16.2711268028536,-16.2737050814141,-16.2762797544017,3.89660552455679,3.89661087991141,3.89659505004227,0.548689751484037,0.557872021628035,0.566888941930287,10000,6.3736828,1e-07,-0.0386811175338336,-0.0156959935717741,0.00736955240734191,1
3.1293221049175,-16.2746690299613,-16.2772440601923,-16.2798130453129,3.94174815773742,3.89662471418858,3.89661529339357,0.555113681472628,0.564181466940805,0.573078196970657,10000,6.3736828,1e-07,-0.00782341347366412,0.0145739045142168,0.0370689003643345,1
3.17445655835381,-16.2783335517419,-16.2809028304013,-16.2834635914732,3.94173688169613,3.94174716964937,4.34793375274459,0.56168621219342,0.570631112826834,0.579399480073345,10000,6.3736828,1e-07,0.0220707085714118,0.0439145915142748,0.0658715022846087,1
3.21959101179012,-16.2821256921724,-16.2846864940016,-16.2872362807735,3.94174429570749,3.94175271502966,4.3930970698975,0.568411934145985,0.577225094011916,0.5858565062949,10000,6.3736828,1e-07,0.0510593109959191,0.0723811323055915,0.09382966200082,1
3.26472546522643,-16.286051041516,-16.2886004019721,-16.2911362341593,3.98687573902586,4.39305428919624,4.43822448984263,0.575295595177538,0.583967679164029,0.59245310434271,10000,6.3736828,1e-07,0.0791953793324396,0.100023855494405,0.120991253366547,1
3.30985991866274,-16.2901154705014,-16.2926501672023,-16.2951688173841,3.9868469197374,4.4381843690334,4.48334115767995,0.582342105197967,0.590863274571199,0.599193219424739,10000,6.3736828,1e-07,0.106527396507116,0.126888880552055,0.147400205986839,1
3.35499437209905,-16.2943251452295,-16.2968416780239,-16.2993396533282,4.39304901794119,4.48333192530075,4.52847743502325,0.589556540903077,0.597916427807011,0.606080916075033,10000,6.3736828,1e-07,0.133099838174142,0.15301857364708,0.173096926189774,1
3.40012882553536,-16.2986865428386,-16.3011811124058,-16.3036546349011,4.43822163900567,4.48337967720965,4.57361630788734,0.596944150486844,0.605131831368048,0.613120380942305,10000,6.3736828,1e-07,0.158953601795813,0.178451943440607,0.19811866332982,1
3.44526327897167,-16.3032064679523,-16.3056749528342,-16.3081199385477,4.48333741821077,4.52850554715084,4.61873332350106,0.604510358320999,0.612514326265678,0.620315925527557,10000,6.3736828,1e-07,0.184126379824403,0.20322498608832,0.222499829725504,1
3.49039773240798,-16.3078920699412,-16.3103300019011,-16.3127420383752,4.52848528319841,4.5736439525774,4.66387351417349,0.612260769577574,0.620068905552721,0.627671988855347,10000,6.3736828,1e-07,0.208652985501329,0.227370987073514,0.246272281098971,1
3.53553218584429,-16.312750861022,-16.3151533986225,-16.3175277209202,4.57362510741916,4.61877201325419,4.70898675067437,0.620201174767215,0.627800717763423,0.635193140061796,10000,6.3736828,1e-07,0.232565638312943,0.250920786193093,0.269465563226776,1
3.5806666392806,-16.31779073522,-16.3201526355045,-16.3224841005699,4.61874491941145,4.66389732843126,4.75415415303272,0.628337554162994,0.635715070243029,0.642884080880947,10000,6.3736828,1e-07,0.255894214951654,0.27390301096403,0.292107129571013,1
3.62580109271691,-16.3230199882179,-16.3253355763783,-16.3276186356535,4.66388843611662,4.70900370110748,4.75418936186367,0.636676082076251,0.643817432340958,0.650749648009447,10000,6.3736828,1e-07,0.278666470665173,0.296344282859787,0.314222533892596,1
3.67093554615322,-16.3284473381125,-16.3307104750191,-16.3329391452174,4.70902789637683,4.75413919084417,4.7992980624986,0.645223130947595,0.652113438439186,0.658794815327896,10000,6.3736828,1e-07,0.300908235088875,0.318269400084242,0.335835601219172,1
3.71606999958953,-16.3340819470965,-16.3362859945612,-16.3384538264923,4.70908570907927,4.79927544949871,4.84443125687766,0.653985275212624,0.660608890784999,0.667024695955484,10000,6.3736828,1e-07,0.32264358601052,0.339701500013627,0.35696858002139,1
3.76120445302584,-16.3399334440812,-16.3420712277244,-16.3441712730644,4.75418976328713,4.84437662245697,4.88951465576228,0.662969294898266,0.669309762094724,0.675444544112843,10000,6.3736828,1e-07,0.343895003984624,0.360662203960357,0.377642278021802,1
