Kgrid,V1,V2,V3,K1,K2,K3,L1,L2,L3,n_iter,time,tol_level,V1InitialGuess,V2InitialGuess,V3InitialGuess
2.63284311711809,-0.407376213962852,-0.372648858478565,-0.337721408696431,2.75990288431,2.80476762729223,2.85015475437676,0.491716855358116,0.501667445797993,0.51151617348764,1,203.424,1e-07,-0.407376294478143,-0.372648910779297,-0.337721476827055
2.63306878938527,-0.407368236799479,-0.372641084040784,-0.337713832434771,2.76013788543989,2.80501750383376,2.85042324675392,0.491742381466963,0.501692728259867,0.511541179578158,1,203.424,1e-07,-0.407368318150151,-0.372641137017112,-0.337713901352429
2.63329446165245,-0.407360259694082,-0.372633309698669,-0.337706256228765,2.76036402548748,2.80526877242063,2.85062828090338,0.491767910255757,0.501718013285143,0.511566188115165,1,203.424,1e-07,-0.407360341822159,-0.372633363254927,-0.337706325877803
2.63352013391963,-0.407352282620292,-0.372625535402378,-0.337698680136922,2.76076960727478,2.80548589877147,2.85085443751845,0.491793441724885,0.501743300874177,0.511591199098986,1,203.424,1e-07,-0.407352365494167,-0.372625589492742,-0.337698750403177
2.63374580618681,-0.407344305522714,-0.372617761222575,-0.337691104067916,2.76101316686458,2.80572915380156,2.85127954930837,0.491818975874736,0.501768591027325,0.511616212529948,1,203.424,1e-07,-0.407344389166175,-0.372617815730556,-0.337691174928551
2.63397147845399,-0.407336328509345,-0.372609987097306,-0.337683528015335,2.76123576390799,2.80597429854775,2.85151667804944,0.491844512705698,0.501793883744944,0.511641228408378,1,203.424,1e-07,-0.407336412838183,-0.372610041968371,-0.337683599453925
2.63419715072117,-0.407328351595872,-0.372602212957673,-0.337675952068758,2.76144944328153,2.806371136264,2.85172967831911,0.491870052218157,0.501819179027391,0.5116662467346,1,203.424,1e-07,-0.407328436510191,-0.372602268206186,-0.337676023979299
2.63442282298836,-0.407320375470155,-0.372594438841068,-0.337668376761097,2.76148641747853,2.80660483073251,2.85175992777401,0.491895594412503,0.501844476875021,0.511691267508943,1,203.424,1e-07,-0.407320460182199,-0.372594494444001,-0.337668448504673
2.63464849525554,-0.407312400659611,-0.372586665366992,-0.33766080323911,2.76148142912824,2.80658622803886,2.85178200415319,0.491921139289124,0.501869777288191,0.511716290731733,1,203.424,1e-07,-0.407312483854207,-0.372586720681816,-0.337660873030047
2.63487416752272,-0.407304427419369,-0.372578893062343,-0.337653230252182,2.76149326925902,2.80661550231342,2.85201824767237,0.491946686848408,0.501895080267258,0.511741316403296,1,203.424,1e-07,-0.407304507526215,-0.372578946919631,-0.337653297555421
